start,end,duration_min,command,setpoint_c,phase,purpose,status
2026-07-15T00:00:00+08:00,2026-07-15T02:00:00+08:00,120,OFF,,train,夜间自然响应1,PROJECT_DESIGNED_NOMINAL_NOT_FIELD_AUTHORIZED
2026-07-15T02:00:00+08:00,2026-07-15T04:00:00+08:00,120,ON,26,train,恢复基准,PROJECT_DESIGNED_NOMINAL_NOT_FIELD_AUTHORIZED
2026-07-15T04:00:00+08:00,2026-07-15T06:00:00+08:00,120,OFF,,train,夜间自然响应2,PROJECT_DESIGNED_NOMINAL_NOT_FIELD_AUTHORIZED
2026-07-15T06:00:00+08:00,2026-07-15T08:00:00+08:00,120,ON,25,train,预冷及恢复,PROJECT_DESIGNED_NOMINAL_NOT_FIELD_AUTHORIZED
2026-07-15T08:00:00+08:00,2026-07-15T09:00:00+08:00,60,ON,27,train,减弱制冷,PROJECT_DESIGNED_NOMINAL_NOT_FIELD_AUTHORIZED
2026-07-15T09:00:00+08:00,2026-07-15T10:00:00+08:00,60,ON,25,train,增强制冷,PROJECT_DESIGNED_NOMINAL_NOT_FIELD_AUTHORIZED
2026-07-15T10:00:00+08:00,2026-07-15T11:30:00+08:00,90,ON,26,train,基准保持,PROJECT_DESIGNED_NOMINAL_NOT_FIELD_AUTHORIZED
2026-07-15T11:30:00+08:00,2026-07-15T12:00:00+08:00,30,OFF,,train,短时自然响应,PROJECT_DESIGNED_NOMINAL_NOT_FIELD_AUTHORIZED
2026-07-15T12:00:00+08:00,2026-07-15T13:00:00+08:00,60,ON,25,train,增强制冷,PROJECT_DESIGNED_NOMINAL_NOT_FIELD_AUTHORIZED
2026-07-15T13:00:00+08:00,2026-07-15T14:00:00+08:00,60,ON,27,train,减弱制冷,PROJECT_DESIGNED_NOMINAL_NOT_FIELD_AUTHORIZED
2026-07-15T14:00:00+08:00,2026-07-15T15:00:00+08:00,60,ON,25,train,增强制冷,PROJECT_DESIGNED_NOMINAL_NOT_FIELD_AUTHORIZED
2026-07-15T15:00:00+08:00,2026-07-15T16:00:00+08:00,60,ON,26,train,训练段结束,PROJECT_DESIGNED_NOMINAL_NOT_FIELD_AUTHORIZED
2026-07-15T16:00:00+08:00,2026-07-15T17:00:00+08:00,60,ON,26,holdout,冻结参数；留出验证开始,PROJECT_DESIGNED_NOMINAL_NOT_FIELD_AUTHORIZED
2026-07-15T17:00:00+08:00,2026-07-15T18:00:00+08:00,60,OFF,,holdout,留出自然响应,PROJECT_DESIGNED_NOMINAL_NOT_FIELD_AUTHORIZED
2026-07-15T18:00:00+08:00,2026-07-15T19:30:00+08:00,90,ON,25,holdout,留出增强制冷,PROJECT_DESIGNED_NOMINAL_NOT_FIELD_AUTHORIZED
2026-07-15T19:30:00+08:00,2026-07-15T20:30:00+08:00,60,ON,27,holdout,留出减弱制冷,PROJECT_DESIGNED_NOMINAL_NOT_FIELD_AUTHORIZED
2026-07-15T20:30:00+08:00,2026-07-15T22:00:00+08:00,90,ON,26,holdout,留出基准保持,PROJECT_DESIGNED_NOMINAL_NOT_FIELD_AUTHORIZED
2026-07-15T22:00:00+08:00,2026-07-15T23:00:00+08:00,60,OFF,,holdout,留出夜间自然响应,PROJECT_DESIGNED_NOMINAL_NOT_FIELD_AUTHORIZED
2026-07-15T23:00:00+08:00,2026-07-16T00:00:00+08:00,60,ON,26,holdout,恢复常规控制,PROJECT_DESIGNED_NOMINAL_NOT_FIELD_AUTHORIZED
